acceptedTaxonKey,acceptedScientificName,Classification,Description,n_climate,n_totaal,perc_climate,geometry,scenario
6391648,Persicaria amphibia,Cfb,Temperate oceanic climate,232483,253233,0.9180596525729269,"c(-72.8575, 41.2991)",2051-2075-A1FI
2710941,Schoenoplectus lacustris,Cfa,Humid subtropical climate,335,70714,0.004737392878355064,"c(153.35, -28)",2051-2075-A1FI
2952882,Bituminaria bituminosa,Cfa,Humid subtropical climate,5634,40827,0.13799691380703946,"c(152.917736, -27.248406)",2051-2075-A1FI
6027328,Chaerophyllum hirsutum,Cfa,Humid subtropical climate,79,50172,0.0015745834329905126,"c(2.57486, 42.49398)",2051-2075-A1FI
2710941,Schoenoplectus lacustris,Csa,Hot-summer Mediterranean climate,383,70714,0.005416183499731312,"c(14.52778, 40.74722)",2076-2100-A1FI
2888763,Valeriana officinalis,Cfa,Humid subtropical climate,889,213908,0.004155992295753315,"c(115.998105, 29.61015)",2076-2100-A1FI
2925303,Lantana camara,Csa,Hot-summer Mediterranean climate,4520,58121,0.07776879269110992,"c(138.672488, -34.96067)",2076-2100-A1FI
2925303,Lantana camara,Cfa,Humid subtropical climate,20342,58121,0.349993978080212,"c(151.12, -33.92)",2076-2100-A1FI
2952882,Bituminaria bituminosa,Csa,Hot-summer Mediterranean climate,14399,40827,0.35268327332402577,"c(-7.983333, 31.25)",2076-2100-A1FI
3169756,Nerium oleander,Cfa,Humid subtropical climate,16252,92267,0.17614098214963098,"c(119.306406, 26.076106)",2076-2100-A1FI
3169756,Nerium oleander,Csa,Hot-summer Mediterranean climate,26999,92267,0.29261816250663836,"c(35.213105, 31.77648)",2076-2100-A1FI
3176197,Eucalyptus camaldulensis,Cfa,Humid subtropical climate,5374,34524,0.1556598308423126,"c(147.12, -35.27)",2076-2100-A1FI
3176197,Eucalyptus camaldulensis,Csa,Hot-summer Mediterranean climate,2667,34524,0.07725060827250609,"c(138.62, -34.98)",2076-2100-A1FI
3176787,Eucalyptus globulus,Cfa,Humid subtropical climate,199,18135,0.010973256134546458,"c(146.683333, -36.35)",2076-2100-A1FI
3176787,Eucalyptus globulus,Csa,Hot-summer Mediterranean climate,2000,18135,0.11028398125172319,"c(10.31462, 42.81152)",2076-2100-A1FI
3797394,Lycium ferocissimum,Csa,Hot-summer Mediterranean climate,7116,87408,0.0814113124656782,"c(138.75, -35)",2076-2100-A1FI
3797394,Lycium ferocissimum,Cfa,Humid subtropical climate,2566,87408,0.02935658063335164,"c(151.15, -33.97)",2076-2100-A1FI
5403709,Crepis vesicaria,Csa,Hot-summer Mediterranean climate,1966,27325,0.0719487648673376,"c(-5.726797, 37.90492)",2076-2100-A1FI
